Artist,Name,Link,Danceability,Energy,Speechiness,Acousticness,Liveness,Valence
Jah Mason,Give Jah Some Time,https://open.spotify.com/track/0lFUj2DG3CdDk6gWIUrH3r,0.68,0.633,0.0744,0.132,0.164,0.508
Various Artists,Street Smart,https://open.spotify.com/track/54A9x3apDarL9Q23AnzmUb,0.848,0.817,0.259,0.0416,0.0701,0.846
Micah Shemaiah,Spiritual,https://open.spotify.com/track/7rcVXySQxi3ineT2haKQe8,0.725,0.729,0.147,0.194,0.308,0.825
DeJ Loaf,Try Me,https://open.spotify.com/track/2CY92qejUrhyPUASawNVRr,0.56,0.81,0.0872,0.0071,0.241,0.247
Maino,All the Above (feat. T-Pain),https://open.spotify.com/track/1z667LebVh3DtYNrVJEao0,0.374,0.888,0.12,0.0762,0.202,0.365
Buju Banton,Buried Alive,https://open.spotify.com/track/0TihbhZf0uXlEcxDj4Fzpi,0.643,0.641,0.0849,0.0718,0.121,0.299
Various Artists,The Greatest,https://open.spotify.com/track/0ScOAZW5rQbEreoK0h5r5S,0.491,0.803,0.37,0.132,0.72,0.788
Rita Marley,Bus Dem Shut (Bredda Pyaka),https://open.spotify.com/track/6wXu5ESvXlCWFSUvblC5MD,0.841,0.379,0.176,0.158,0.0498,0.563
Keyshia Cole,You (feat. Remy Ma & French Montana),https://open.spotify.com/track/0yrRMqTTz5behxCQ8Elggf,0.614,0.628,0.198,0.0233,0.0585,0.267
Andrew Tosh,That's What They Will Do,https://open.spotify.com/track/7gI5XsjYVQVUdBMScKyQaC,0.584,0.395,0.0303,0.559,0.116,0.454
Demarco,Mover (with Konshens),https://open.spotify.com/track/41bwce0BTvtZXhcsNypLL7,0.905,0.699,0.222,0.0487,0.122,0.606
Judy Mowatt,Concrete Jungle,https://open.spotify.com/track/7vlDHKGPxuJ26WiPdMKmUG,0.601,0.421,0.0593,0.126,0.0395,0.885
Vershon,Always Your Own,https://open.spotify.com/track/7uxrpw4mibgpczXCqGK4vN,0.656,0.616,0.213,0.168,0.0804,0.255
U-Roy,Swell Head Skank,https://open.spotify.com/track/0vGvJoMVOnZCQEuxiwSkL2,0.858,0.484,0.117,0.0283,0.153,0.921
Gyptian,Wine Slow,https://open.spotify.com/track/4s2lircadR1O7vCZjMMJCf,0.608,0.568,0.349,0.73,0.191,0.47
The Game,The City,https://open.spotify.com/track/6m49tZii9UUttOgDozxjI1,0.574,0.787,0.398,0.176,0.0918,0.302
Collie Buddz,Twisted Agenda (with Bounty Killer),https://open.spotify.com/track/1ElOaYIBsOPee0ULnQlgHb,0.729,0.667,0.234,0.00288,0.0583,0.738
Etana,High Grade,https://open.spotify.com/track/2hFihn3Ajbua900bTiyrN2,0.745,0.861,0.0543,0.105,0.321,0.756
Bounty Killer,Cellular Phone,https://open.spotify.com/track/3VrucfkSiY3MaiSIA91c3p,0.805,0.55,0.129,0.303,0.163,0.762
Sly & Robbie,Crazy Baldhead,https://open.spotify.com/track/53R3GmxPRTtf8FFYxNcGt6,0.807,0.536,0.291,0.433,0.276,0.659
