Artist,Name,Link,Danceability,Energy,Speechiness,Acousticness,Liveness,Valence
Million Stylez,Babylon Is Burning,https://open.spotify.com/track/01uPUYxVaIEqiLoIVB9cqp,0.49,0.739,0.0764,0.0949,0.123,0.605
The Specials,"Friday Night, Saturday Morning - 2015 Remaster",https://open.spotify.com/track/66tyi2ix4ErbUBKFAVw98r,0.742,0.61,0.0341,0.14,0.144,0.874
The Upsetters,Huzza A Hana - 2022 Remaster,https://open.spotify.com/track/5ogPNMlRTAcE1yNfRE7u0h,0.688,0.502,0.0404,0.134,0.246,0.609
Jimmy Cliff,Vietnam - Single Version,https://open.spotify.com/track/2fBoOkbf0qzw4y3jLTaNcB,0.9,0.366,0.0586,0.00133,0.098,0.752
Rootdown Selected,Jah Deliver Us from All Evil,https://open.spotify.com/track/4bOyhGITc4D6ExJjGjJZng,0.589,0.77,0.215,0.0163,0.293,0.856
Black Roots,Move On,https://open.spotify.com/track/3U440ZwW103dFK1d1OQeUP,0.784,0.15,0.161,0.478,0.145,0.564
The Wailers,Small Axe,https://open.spotify.com/track/1WdjhpptMbaldV9A18LGz7,0.803,0.647,0.2,0.3,0.0762,0.821
Marcia Griffiths,Feel Like Jumping,https://open.spotify.com/track/4R8rtLIPQcrjnYvKOlqUON,0.784,0.43,0.0582,0.0566,0.0689,0.643
Mikey Spice,A Little Love,https://open.spotify.com/track/4z6fgaQTG056o61iQafFVo,0.737,0.452,0.133,0.252,0.296,0.573
King Tubby,North Circular Dub (No No No Rhyhtm),https://open.spotify.com/track/0wRA0cd2d88zUCQlBkJhrn,0.647,0.569,0.134,0.0326,0.115,0.329
U-Roy,Chalice In The Palace - 1990 Digital Remaster,https://open.spotify.com/track/0XHbsFYB6kdzujxZs5bVBj,0.664,0.426,0.184,0.0354,0.067,0.523
Anthony B,Beat Dem Bad,https://open.spotify.com/track/5tQeffuTMLskTsjbow9Piu,0.543,0.747,0.322,0.156,0.228,0.423
Dillinger,Bionic Dread,https://open.spotify.com/track/6prnk8C2J9vxuiLVh0LoJu,0.747,0.624,0.105,0.00329,0.196,0.646
Jah Vinci,IN MY LIFE,https://open.spotify.com/track/1mcZoFe1JIDXGhfeTrXIjv,0.53,0.42,0.216,0.438,0.658,0.398
Clinton Fearon,This Morning,https://open.spotify.com/track/1HbhxgCe9zfc51Z3Hv5U1h,0.849,0.476,0.281,0.0548,0.0968,0.752
Hepcat,I Can't Wait,https://open.spotify.com/track/51vJlDmoPncY0fzzarlHW2,0.82,0.63,0.0722,0.0722,0.0462,0.961
Toots & The Maytals,Monkey Man,https://open.spotify.com/track/6MWp4F386osepOqdMqq2hm,0.876,0.544,0.0476,0.766,0.082,0.967
Junior Kelly,Nuthin' Wrong With The World,https://open.spotify.com/track/4HWhdjFpP7Ki6GdpAmIfxK,0.699,0.82,0.246,0.172,0.465,0.931
Peter Tosh,I Am That I Am,https://open.spotify.com/track/2PyDqCtFcXsucZqTF4rE3i,0.791,0.481,0.124,0.0649,0.0247,0.926
Various Artists,Playing Games With My Heart,https://open.spotify.com/track/2AWXvbEbadUGqiv2j9feJM,0.942,0.36,0.0565,0.0732,0.0841,0.774
