arist_id,artist_name,track_name,track_id,popularity,explicit,release_date,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
6I1j34QzSTWe6u4qQWKYJe,10Tik,Roll Deep - Acoustic Version,3Q9C4zMjvupkpsruiEhAPp,29,False,2021-10-26,0.544,0.428,6.0,-6.846,0.0703,0.455,0.0,0.0859,0.405,115.967,221868.0,5.0,0.0
6I1j34QzSTWe6u4qQWKYJe,10Tik,Activ,0KY6oQShpqcTJ9bpVk7zjm,26,True,2022-03-04,0.451,0.618,7.0,-7.08,0.348,0.265,0.0,0.137,0.597,180.21,173729.0,4.0,0.0
6I1j34QzSTWe6u4qQWKYJe,10Tik,Smoke Session,7msKHkAJ3w2Ca0kEuiJmih,19,True,2022-06-17,0.468,0.372,1.0,-8.747,0.237,0.49,0.0,0.127,0.303,87.089,175830.0,1.0,0.0
6I1j34QzSTWe6u4qQWKYJe,10Tik,Pi Pi,6DlW7VUNB7IfG0GKQjZOMP,8,False,2022-06-16,0.584,0.63,6.0,-7.131,0.284,0.288,5.37e-06,0.167,0.427,179.893,194313.0,4.0,0.0
6I1j34QzSTWe6u4qQWKYJe,10Tik,Don't Destroy,47q2ImlYlHFrsiVTVJCcDC,27,False,2022-04-22,0.753,0.473,9.0,-8.278,0.224,0.352,1.17e-05,0.106,0.319,107.108,183984.0,4.0,0.0
6NuqWCp8VQhokoHpiUY1mS,1Biggs Don,"Bwoii Affi"" Watch Eh Style",5QBzYkOSEIuIgolYr4Is1l,41,False,2022-05-14,0.97,0.712,1.0,-6.463,0.083,0.232,0.0,0.0775,0.521,106.985,148037.0,4.0,1.0
6NuqWCp8VQhokoHpiUY1mS,1Biggs Don,Roll Up,1JR72inFsy3PcTjGAMfZ3N,35,True,2022-06-07,0.63,0.484,6.0,-6.118,0.0426,0.00989,0.0,0.0504,0.58,87.993,180271.0,4.0,0.0
6NuqWCp8VQhokoHpiUY1mS,1Biggs Don,"Bwoii Affi"" Watch Eh Style",15ycokwnZsMhDyORHASWBX,61,True,2022-05-14,0.971,0.72,1.0,-6.4,0.0878,0.225,0.0,0.0741,0.567,106.99,148037.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,Gyal Thief,7msw71odv70oRqLEpA4g8u,18,False,2021-10-19,0.869,0.645,7.0,-6.231,0.118,0.164,0.0,0.0571,0.551,133.48,175517.0,5.0,1.0
2v6V75NbousiJwy2HV44VL,450,Know Weh Ya Do,4Vt1uT3bxlEoMoZ1BDdQWA,35,False,2022-06-04,0.545,0.571,1.0,-5.507,0.137,0.198,1.96e-06,0.103,0.311,130.543,177958.0,5.0,1.0
2v6V75NbousiJwy2HV44VL,450,Size Ten,0b5MILtW3uKWk0y79Guxp8,19,False,2019-08-26,0.862,0.593,0.0,-5.882,0.158,0.0571,0.0,0.131,0.497,110.022,198545.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,Group Up,6qIzxBadoP3l4JU0c4XnRt,16,False,2019-09-13,0.799,0.708,6.0,-7.083,0.151,0.438,0.0,0.384,0.693,102.077,209032.0,4.0,0.0
2v6V75NbousiJwy2HV44VL,450,Blessings,3mQbZ6FjT7O97yepd0sYKv,14,False,2019-11-29,0.433,0.584,1.0,-8.961,0.31,0.007,4.2e-06,0.072,0.399,63.406,165789.0,3.0,1.0
2v6V75NbousiJwy2HV44VL,450,Pay Fi My Fvck,0xbZOoT23XdnzCCAoXPVJE,27,True,2021-02-12,0.756,0.587,0.0,-6.406,0.186,0.131,0.0,0.113,0.66,94.94,184421.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,2 Face,0cUBKZ2H2Jr4GQYPo8VxO7,37,True,2022-02-25,0.76,0.617,0.0,-4.995,0.142,0.548,0.0,0.203,0.65,103.992,143081.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,Be Honest,3KBZlJlkE3QAPKtG3o8vmZ,35,True,2022-04-23,0.414,0.624,7.0,-6.64,0.17,0.387,0.0,0.372,0.114,176.614,189103.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,Blessings,3q8lXzEh3M1moeEsMEd1xG,19,True,2019-11-29,0.434,0.57,1.0,-8.842,0.341,0.00662,1.84e-05,0.0737,0.399,59.643,165789.0,3.0,1.0
2v6V75NbousiJwy2HV44VL,450,Beast Mode,3Q1ObTHHYCbFwUY5FZHibs,30,False,2020-11-20,0.631,0.757,1.0,-5.989,0.422,0.532,0.0,0.0916,0.54,137.785,179879.0,4.0,0.0
2v6V75NbousiJwy2HV44VL,450,Awakening,5HSdUHbinewpRdMcC2jVBQ,17,True,2020-09-21,0.523,0.673,2.0,-6.777,0.179,0.217,0.0,0.0883,0.432,93.094,183942.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,2 Face,276IoMID61STB31eTIAwn6,23,False,2022-02-25,0.76,0.574,0.0,-6.079,0.187,0.622,0.0,0.234,0.612,103.93,143081.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,Be Honest,6XaH8ILmqI3BfzB6eSeRga,25,False,2022-04-23,0.44,0.452,2.0,-9.409,0.098,0.434,0.0,0.359,0.149,84.119,189103.0,4.0,1.0
2v6V75NbousiJwy2HV44VL,450,Purge,0873Ud2pOR5isVefbToRjt,34,True,2021-12-29,0.699,0.458,1.0,-8.556,0.278,0.223,0.0,0.121,0.365,142.034,191514.0,4.0,0.0
2v6V75NbousiJwy2HV44VL,450,Money,5jZ7EgakIDo8x8cfJueb3q,20,True,2021-08-19,0.739,0.685,6.0,-5.373,0.0709,0.267,0.0,0.0576,0.365,97.997,196759.0,4.0,0.0
2v6V75NbousiJwy2HV44VL,450,Imperfections,2OQRVFORypZOnfsjVzZKvO,18,False,2021-06-11,0.454,0.508,2.0,-5.774,0.125,0.063,0.0,0.114,0.372,85.022,168725.0,4.0,1.0
